Row,Primary Type,Arrest,District,Year,Latitude,Longitude,min_distance2police,Values,date_column
1543,THEFT,False,2.0,2011,41.80171934,-87.63070362100001,0.01743230253061109,1,2011-03-24 16:15:00
12528,BATTERY,False,18.0,2011,41.902675191,-87.641576755,0.011516918138614671,1,2011-01-01 00:15:00
12531,THEFT,False,22.0,2011,41.677507979,-87.663130735,0.024111268841615217,1,2011-01-02 19:00:00
12532,ROBBERY,True,1.0,2011,41.877661886,-87.62766551600001,0.01558265176613296,1,2011-01-03 13:50:00
12557,BATTERY,False,10.0,2011,41.85146419,-87.730575733,0.03948833364031789,1,2011-01-05 13:30:00
12585,THEFT,False,10.0,2011,41.84921736,-87.69170237,0.005292366005655713,1,2011-01-08 23:00:00
12635,BATTERY,True,8.0,2011,41.792323043,-87.78094378700001,0.015911707182626987,1,2011-01-07 15:35:00
12638,ASSAULT,False,7.0,2011,41.789870979,-87.658408367,0.029376892810578023,1,2011-01-12 20:00:00
12652,THEFT,False,25.0,2011,41.931765745999996,-87.76380724,0.026471609579677022,1,2011-01-15 19:00:00
12691,BATTERY,True,22.0,2011,41.691506552,-87.70484926299999,0.04484139055662088,1,2011-01-23 10:35:00
12701,NARCOTICS,True,7.0,2011,41.76230003,-87.65577608,0.025377177227268403,1,2011-01-12 17:04:05
12709,THEFT,False,6.0,2011,41.740680499999996,-87.65347148299999,0.026839453646766244,1,2011-01-25 21:00:00
12743,BATTERY,False,19.0,2011,41.965911528,-87.65886264,0.015553817773374622,1,2011-01-31 17:30:00
12745,THEFT,False,17.0,2011,41.969738422,-87.742810374,0.00835556491113353,1,2011-01-04 14:00:00
12804,BATTERY,True,3.0,2011,41.761086784,-87.56133429,0.004901565745713544,1,2011-02-13 02:10:00
12809,THEFT,False,8.0,2011,41.78281214,-87.77656691,0.03481598796884749,1,2011-02-12 16:00:00
12811,NARCOTICS,True,9.0,2011,41.79945985,-87.66882243,0.021470341373398413,1,2011-02-14 20:37:00
12816,THEFT,True,11.0,2011,41.901408604000004,-87.722605332,0.0321119886395011,1,2011-02-17 09:30:00
12826,ASSAULT,False,25.0,2011,41.936851026,-87.77615896,0.0139946405749819,1,2011-02-22 15:20:00
12842,BATTERY,False,9.0,2011,41.82033326,-87.701980603,0.02196968282433188,1,2011-02-20 19:45:00
12847,ASSAULT,False,22.0,2011,41.711168457,-87.66570018600001,0.02196968282433188,1,2011-02-17 05:30:00
12854,BATTERY,False,4.0,2011,41.726122376,-87.575047128,0.02136112134713323,1,2011-03-03 19:15:00
12860,THEFT,False,3.0,2011,41.763442831,-87.56646696,0.010907233518969078,1,2011-03-02 17:30:00
12866,ASSAULT,False,24.0,2011,42.004694436,-87.672883168,0.004115668687425121,1,2011-03-04 20:00:00
12871,BATTERY,False,8.0,2011,41.784449254,-87.80120721,0.025863846604241084,1,2011-03-08 16:10:00
12879,BATTERY,False,8.0,2011,41.77695934,-87.68222741700001,0.019495699159678314,1,2011-03-10 14:45:00
12883,ASSAULT,True,20.0,2011,41.969936675,-87.659695364,0.028567635332182154,1,2011-03-11 21:56:00
12902,THEFT,False,14.0,2011,41.91293292,-87.697064224,0.022238084409552637,1,2011-03-11 21:00:00
12908,BATTERY,False,11.0,2011,41.879613741,-87.709318061,0.018264501670538502,1,2011-03-17 19:45:00
12909,THEFT,False,20.0,2011,41.989575829,-87.68963999299999,0.011001990246344672,1,2011-02-23 15:00:00
12918,BATTERY,False,11.0,2011,41.87805699,-87.743978321,0.02308248612868133,1,2011-03-21 18:50:00
12926,THEFT,False,16.0,2011,41.955596826,-87.76830462,0.026889873018780267,1,2011-03-19 00:05:00
12953,ASSAULT,False,6.0,2011,41.748943754,-87.63518954700001,0.01924669736872963,1,2011-01-20 09:16:00
12965,ASSAULT,False,12.0,2011,41.890992303000004,-87.70395534,0.021804482844176364,1,2011-03-31 17:40:00
12968,NARCOTICS,True,10.0,2011,41.858941527,-87.71800983,0.0034495431817385368,1,2011-04-01 10:27:00
12970,ASSAULT,False,7.0,2011,41.776992168,-87.661711016,0.040024338412590975,1,2011-04-01 15:00:00
12972,THEFT,False,2.0,2011,41.82467357,-87.626413225,0.027243235801568576,1,2011-04-02 20:00:00
12976,ASSAULT,False,24.0,2011,42.019517794,-87.68819727,0.020856948432490738,1,2011-04-04 12:15:00
12979,BATTERY,False,10.0,2011,41.844280497,-87.72241492,0.017868224771469078,1,2011-04-04 22:50:00
12989,THEFT,False,8.0,2011,41.780595495,-87.68367553,0.01879508245992651,1,2011-04-07 15:10:00
12995,THEFT,False,19.0,2011,41.927458441999995,-87.64159938200001,0.015168842834127973,1,2011-04-08 15:30:00
12997,BATTERY,False,14.0,2011,41.931018087,-87.70617128,0.016358662050120615,1,2011-04-10 01:25:00
13002,BATTERY,True,2.0,2011,41.831073057,-87.62017475100001,0.015180208268979263,1,2011-04-12 15:05:00
13009,BATTERY,False,17.0,2011,41.93885221,-87.744933152,0.019998896551523593,1,2011-04-13 13:55:00
13015,ASSAULT,True,5.0,2011,41.707095328,-87.628834415,0.012309992830929725,1,2011-04-15 18:48:00
13016,BATTERY,False,8.0,2011,41.79054357,-87.780130326,0.041432253566301445,1,2011-04-15 14:45:00
13017,THEFT,False,12.0,2011,41.890976027,-87.667492786,0.007556474999885599,1,2011-04-17 00:30:00
13018,ASSAULT,True,5.0,2011,41.684009764,-87.64098427799999,0.030925815830331396,1,2011-04-17 17:30:00
13027,THEFT,False,15.0,2011,41.88314073,-87.76660788,0.018654303618053144,1,2011-04-19 16:00:00
13028,BATTERY,False,7.0,2011,41.779153403,-87.65449147,0.024517821182494563,1,2011-04-20 17:30:00
13036,BATTERY,False,9.0,2011,41.850964569,-87.63284068700001,0.030556797890740065,1,2011-04-24 11:30:00
13055,BATTERY,False,9.0,2011,41.796278388000005,-87.70225342200001,0.017314482926554572,1,2011-05-01 23:15:00
13056,THEFT,False,8.0,2011,41.764189497,-87.715917635,0.008671568634274736,1,2011-05-01 19:00:00
13066,THEFT,False,8.0,2011,41.778802358,-87.71377935,0.012267306175095869,1,2011-05-03 18:00:00
13067,BATTERY,False,11.0,2011,41.8871929,-87.720959585,0.004477089901275634,1,2011-05-05 08:00:00
13073,BATTERY,False,5.0,2011,41.70427851,-87.61975395,0.015548432686981885,1,2011-05-01 17:47:00
13074,BATTERY,False,9.0,2011,41.841568676,-87.658118585,0.013031918501281738,1,2011-05-07 16:00:00
13075,BATTERY,True,4.0,2011,41.720613536,-87.57739393799999,0.005077152641675215,1,2011-05-07 19:20:00
13090,ASSAULT,False,12.0,2011,41.895197128,-87.648900523,0.04403038113739853,1,2011-05-11 17:30:00
13092,BATTERY,False,4.0,2011,41.74556186,-87.546705124,0.021870826265259095,1,2011-05-13 11:00:00
13094,THEFT,False,3.0,2011,41.791710871,-87.585063,0.014103600354480335,1,2011-05-11 23:45:00
13112,BATTERY,True,4.0,2011,41.705523241,-87.53528780200001,0.022966452474761336,1,2011-05-17 21:03:00
13121,THEFT,False,7.0,2011,41.76591285,-87.66020273299999,0.012694247379079638,1,2011-05-20 10:35:00
13124,ASSAULT,False,7.0,2011,41.782322899,-87.66428794,0.02760442534922732,1,2011-05-21 16:15:00
13125,THEFT,False,19.0,2011,41.927866871,-87.648849079,0.012650561568825635,1,2011-05-21 11:00:00
13133,BATTERY,False,7.0,2011,41.779820203,-87.640233291,0.009405074899588521,1,2011-05-24 11:55:00
13135,THEFT,False,12.0,2011,41.898898534000004,-87.661349765,0.021986743231616274,1,2011-05-23 11:05:00
13144,THEFT,False,12.0,2011,41.868800024,-87.67707046,0.030081370080195402,1,2011-05-26 14:00:00
13149,THEFT,False,14.0,2011,41.91058445,-87.67096288,0.00913389519401919,1,2011-05-27 11:00:00
13151,BATTERY,False,7.0,2011,41.773036208,-87.67617424,0.0369965902274574,1,2011-06-02 10:45:00
13160,THEFT,False,19.0,2011,41.96245015,-87.64255203,0.009748747395093365,1,2011-06-07 19:30:00
13162,THEFT,False,10.0,2011,41.83029433,-87.727336291,0.015227553546637627,1,2011-06-08 01:33:00
13163,BATTERY,False,9.0,2011,41.799438937,-87.672332426,0.030987458741979192,1,2011-06-09 22:50:00
13168,THEFT,False,1.0,2011,41.88477741,-87.637058225,0.01686068752337185,1,2011-06-10 13:45:00
13176,ASSAULT,False,9.0,2011,41.835674792,-87.646221482,0.005567748268573615,1,2011-06-13 22:45:00
13180,BURGLARY,False,11.0,2011,41.900059954,-87.72134357,0.031753484132767414,1,2011-06-13 17:30:00
13181,BATTERY,False,22.0,2011,41.709663266999996,-87.65983398899999,0.026500203518266246,1,2011-06-11 09:00:00
13185,BATTERY,False,25.0,2011,41.92436229,-87.73687555,0.051896070251648926,1,2011-06-15 13:15:00
13186,ASSAULT,False,6.0,2011,41.749725521,-87.652507532,0.011222798983146622,1,2011-06-16 14:41:00
13187,THEFT,False,1.0,2011,41.88030381,-87.636978269,0.027802724374021405,1,2011-06-15 18:30:00
13191,ASSAULT,False,10.0,2011,41.85128593,-87.67462881799999,0.008976317453710017,1,2011-06-18 14:00:00
13194,ASSAULT,False,3.0,2011,41.764166018000004,-87.59517725799999,0.018488476750421125,1,2011-06-19 13:05:00
13197,ASSAULT,False,10.0,2011,41.849042121,-87.675760273,0.010263800906998547,1,2011-06-19 20:30:00
13204,ASSAULT,False,2.0,2011,41.820325727,-87.61082885,0.02773212390301636,1,2011-06-10 11:00:00
13205,BATTERY,False,18.0,2011,41.908430535,-87.638509526,0.033582172389463316,1,2011-06-19 18:00:00
13208,THEFT,False,8.0,2011,41.743013698,-87.73392158,0.02932836944659069,1,2011-06-23 08:30:00
13209,NARCOTICS,True,7.0,2011,41.768634583,-87.65822778,0.01809361322397728,1,2011-06-23 20:42:00
13218,ASSAULT,False,4.0,2011,41.749652167,-87.58679761799999,0.03132596934000461,1,2011-06-28 19:30:00
13226,THEFT,True,17.0,2011,41.994758989,-87.7144777,0.03372869138223972,1,2011-06-29 12:10:00
13227,ASSAULT,False,4.0,2011,41.744594965,-87.556251559,0.0234152148680435,1,2011-06-29 13:00:00
13236,THEFT,False,16.0,2011,41.997335453000005,-87.762608606,0.05076537198436954,1,2011-07-01 16:55:00
13241,THEFT,False,2.0,2011,41.81664984,-87.615873945,0.03064050386714854,1,2011-07-05 03:30:00
13242,BATTERY,True,11.0,2011,41.88068763,-87.728982876,0.019124417647809762,1,2011-07-06 02:36:00
13261,ASSAULT,False,8.0,2011,41.80779181,-87.703963414,0.017442424585357327,1,2011-07-07 15:00:00
13263,THEFT,False,6.0,2011,41.748536319,-87.60146885,0.03519927740432596,1,2011-07-09 01:50:00
13266,BATTERY,True,12.0,2011,41.868886815,-87.65795968200001,0.01356932331164401,1,2011-07-11 22:36:00
13272,THEFT,False,1.0,2011,41.873101883000004,-87.62915865,0.016696872681332374,1,2011-07-13 11:50:00
13276,BATTERY,False,10.0,2011,41.866303171,-87.71421287,0.037835943504321845,1,2011-07-12 12:00:00
13277,THEFT,False,18.0,2011,41.91705863,-87.65090457,0.0017061801871531826,1,2011-07-14 22:00:00
