type,date,No Arrest,Arrest
$500 AND UNDER,1/1/2008,47478.0,2594.0
$500 AND UNDER,1/1/2009,45114.0,2686.0
$500 AND UNDER,1/1/2010,44142.0,2458.0
$500 AND UNDER,1/1/2011,27466.0,1532.0
$500 AND UNDER,1/1/2012,27885.0,1627.0
$500 AND UNDER,1/1/2013,26305.0,1481.0
$500 AND UNDER,1/1/2014,27141.0,1352.0
$500 AND UNDER,1/1/2015,23395.0,1076.0
$500 AND UNDER,1/1/2016,22085.0,958.0
$500 AND UNDER,1/1/2017,23311.0,949.0
$500 AND UNDER,1/1/2018,21864.0,883.0
FROM BUILDING,1/1/2008,33934.0,1062.0
FROM BUILDING,1/1/2009,29876.0,864.0
FROM BUILDING,1/1/2010,23837.0,499.0
FROM BUILDING,1/1/2011,13129.0,308.0
FROM BUILDING,1/1/2012,11825.0,258.0
FROM BUILDING,1/1/2013,11127.0,264.0
FROM BUILDING,1/1/2014,5909.0,173.0
FROM BUILDING,1/1/2015,8535.0,145.0
FROM BUILDING,1/1/2016,9185.0,120.0
FROM BUILDING,1/1/2017,10314.0,127.0
FROM BUILDING,1/1/2018,9609.0,101.0
OVER $500,1/1/2008,46182.0,1318.0
OVER $500,1/1/2009,41043.0,1338.0
OVER $500,1/1/2010,40144.0,1246.0
OVER $500,1/1/2011,15217.0,497.0
OVER $500,1/1/2012,15391.0,564.0
OVER $500,1/1/2013,14940.0,531.0
OVER $500,1/1/2014,14199.0,536.0
OVER $500,1/1/2015,12126.0,439.0
OVER $500,1/1/2016,13924.0,312.0
OVER $500,1/1/2017,14754.0,371.0
OVER $500,1/1/2018,13527.0,424.0
RETAIL THEFT,1/1/2008,9666.0,12774.0
RETAIL THEFT,1/1/2009,8074.0,14160.0
RETAIL THEFT,1/1/2010,7514.0,9989.0
RETAIL THEFT,1/1/2011,3434.0,5825.0
RETAIL THEFT,1/1/2012,3443.0,5512.0
RETAIL THEFT,1/1/2013,3184.0,5173.0
RETAIL THEFT,1/1/2014,2808.0,5101.0
RETAIL THEFT,1/1/2015,3508.0,4928.0
RETAIL THEFT,1/1/2016,3992.0,4803.0
RETAIL THEFT,1/1/2017,5524.0,4914.0
RETAIL THEFT,1/1/2018,5653.0,4300.0
