crime,year,total
ARSON,2008,1286
ARSON,2009,1224
ARSON,2010,1010
ARSON,2011,506
ARSON,2012,469
ARSON,2013,364
ARSON,2014,390
ARSON,2015,448
ARSON,2016,504
ARSON,2017,444
ARSON,2018,343
ASSAULT,2008,50543
ASSAULT,2009,45232
ASSAULT,2010,41098
ASSAULT,2011,20444
ASSAULT,2012,19894
ASSAULT,2013,17925
ASSAULT,2014,16668
ASSAULT,2015,16945
ASSAULT,2016,18080
ASSAULT,2017,19251
ASSAULT,2018,19094
BATTERY,2008,150918
BATTERY,2009,135535
BATTERY,2010,124407
BATTERY,2011,60516
BATTERY,2012,59120
BATTERY,2013,53870
BATTERY,2014,48690
BATTERY,2015,48579
BATTERY,2016,48686
BATTERY,2017,49137
BATTERY,2018,46719
BURGLARY,2008,52022
BURGLARY,2009,52985
BURGLARY,2010,49500
BURGLARY,2011,26616
BURGLARY,2012,22837
BURGLARY,2013,17825
BURGLARY,2014,14312
BURGLARY,2015,13086
BURGLARY,2016,13613
BURGLARY,2017,12947
BURGLARY,2018,10938
CONCEALED CARRY LICENSE VIOLATION,2014,15
CONCEALED CARRY LICENSE VIOLATION,2015,34
CONCEALED CARRY LICENSE VIOLATION,2016,35
CONCEALED CARRY LICENSE VIOLATION,2017,69
CONCEALED CARRY LICENSE VIOLATION,2018,138
CRIM SEXUAL ASSAULT,2008,2819
CRIM SEXUAL ASSAULT,2009,2600
CRIM SEXUAL ASSAULT,2010,2387
CRIM SEXUAL ASSAULT,2011,1426
CRIM SEXUAL ASSAULT,2012,1350
CRIM SEXUAL ASSAULT,2013,1165
CRIM SEXUAL ASSAULT,2014,1214
CRIM SEXUAL ASSAULT,2015,1302
CRIM SEXUAL ASSAULT,2016,1267
CRIM SEXUAL ASSAULT,2017,1542
CRIM SEXUAL ASSAULT,2018,1480
CRIMINAL DAMAGE,2008,104402
CRIMINAL DAMAGE,2009,94506
CRIMINAL DAMAGE,2010,77450
CRIMINAL DAMAGE,2011,37326
CRIMINAL DAMAGE,2012,35851
CRIMINAL DAMAGE,2013,30785
CRIMINAL DAMAGE,2014,27465
CRIMINAL DAMAGE,2015,28527
CRIMINAL DAMAGE,2016,30189
CRIMINAL DAMAGE,2017,28955
CRIMINAL DAMAGE,2018,25927
CRIMINAL TRESPASS,2008,24442
CRIMINAL TRESPASS,2009,21494
CRIMINAL TRESPASS,2010,17913
CRIMINAL TRESPASS,2011,8657
CRIMINAL TRESPASS,2012,8215
CRIMINAL TRESPASS,2013,8130
CRIMINAL TRESPASS,2014,7495
CRIMINAL TRESPASS,2015,6383
CRIMINAL TRESPASS,2016,6209
CRIMINAL TRESPASS,2017,6799
CRIMINAL TRESPASS,2018,6454
DECEPTIVE PRACTICE,2008,28562
DECEPTIVE PRACTICE,2009,26557
DECEPTIVE PRACTICE,2010,22335
DECEPTIVE PRACTICE,2011,12108
DECEPTIVE PRACTICE,2012,12837
DECEPTIVE PRACTICE,2013,12332
DECEPTIVE PRACTICE,2014,14379
DECEPTIVE PRACTICE,2015,14759
DECEPTIVE PRACTICE,2016,14049
DECEPTIVE PRACTICE,2017,17771
DECEPTIVE PRACTICE,2018,16550
GAMBLING,2008,2356
GAMBLING,2009,1926
GAMBLING,2010,1832
GAMBLING,2011,736
GAMBLING,2012,724
GAMBLING,2013,596
GAMBLING,2014,393
GAMBLING,2015,310
GAMBLING,2016,188
GAMBLING,2017,191
GAMBLING,2018,199
HOMICIDE,2008,513
HOMICIDE,2009,460
HOMICIDE,2010,438
HOMICIDE,2011,437
HOMICIDE,2012,503
HOMICIDE,2013,419
HOMICIDE,2014,423
HOMICIDE,2015,466
HOMICIDE,2016,749
HOMICIDE,2017,674
HOMICIDE,2018,555
HUMAN TRAFFICKING,2014,1
HUMAN TRAFFICKING,2015,12
HUMAN TRAFFICKING,2016,7
HUMAN TRAFFICKING,2017,8
HUMAN TRAFFICKING,2018,12
INTERFERENCE WITH PUBLIC OFFICER,2008,1148
INTERFERENCE WITH PUBLIC OFFICER,2009,1126
INTERFERENCE WITH PUBLIC OFFICER,2010,1519
INTERFERENCE WITH PUBLIC OFFICER,2011,1048
INTERFERENCE WITH PUBLIC OFFICER,2012,1228
INTERFERENCE WITH PUBLIC OFFICER,2013,1281
INTERFERENCE WITH PUBLIC OFFICER,2014,1397
INTERFERENCE WITH PUBLIC OFFICER,2015,1304
INTERFERENCE WITH PUBLIC OFFICER,2016,926
INTERFERENCE WITH PUBLIC OFFICER,2017,1083
INTERFERENCE WITH PUBLIC OFFICER,2018,1238
INTIMIDATION,2008,516
INTIMIDATION,2009,456
INTIMIDATION,2010,380
INTIMIDATION,2011,170
INTIMIDATION,2012,156
INTIMIDATION,2013,133
INTIMIDATION,2014,116
INTIMIDATION,2015,119
INTIMIDATION,2016,119
INTIMIDATION,2017,150
INTIMIDATION,2018,157
KIDNAPPING,2008,714
KIDNAPPING,2009,580
KIDNAPPING,2010,602
KIDNAPPING,2011,265
KIDNAPPING,2012,236
KIDNAPPING,2013,242
KIDNAPPING,2014,216
KIDNAPPING,2015,188
KIDNAPPING,2016,193
KIDNAPPING,2017,190
KIDNAPPING,2018,161
LIQUOR LAW VIOLATION,2008,1798
LIQUOR LAW VIOLATION,2009,1470
LIQUOR LAW VIOLATION,2010,1422
LIQUOR LAW VIOLATION,2011,619
LIQUOR LAW VIOLATION,2012,573
LIQUOR LAW VIOLATION,2013,464
LIQUOR LAW VIOLATION,2014,392
LIQUOR LAW VIOLATION,2015,289
LIQUOR LAW VIOLATION,2016,210
LIQUOR LAW VIOLATION,2017,191
LIQUOR LAW VIOLATION,2018,258
MOTOR VEHICLE THEFT,2008,37251
MOTOR VEHICLE THEFT,2009,30626
MOTOR VEHICLE THEFT,2010,35282
MOTOR VEHICLE THEFT,2011,19381
MOTOR VEHICLE THEFT,2012,16483
MOTOR VEHICLE THEFT,2013,12535
MOTOR VEHICLE THEFT,2014,9796
MOTOR VEHICLE THEFT,2015,10039
MOTOR VEHICLE THEFT,2016,11005
MOTOR VEHICLE THEFT,2017,11370
MOTOR VEHICLE THEFT,2018,9307
NARCOTICS,2008,90130
NARCOTICS,2009,84316
NARCOTICS,2010,82572
NARCOTICS,2011,38568
NARCOTICS,2012,35470
NARCOTICS,2013,34100
NARCOTICS,2014,28111
NARCOTICS,2015,22839
NARCOTICS,2016,10664
NARCOTICS,2017,11475
NARCOTICS,2018,11989
NON - CRIMINAL,2013,3
NON - CRIMINAL,2014,10
NON - CRIMINAL,2015,20
NON - CRIMINAL,2016,5
NON-CRIMINAL,2012,6
NON-CRIMINAL,2013,4
NON-CRIMINAL,2014,15
NON-CRIMINAL,2015,14
NON-CRIMINAL,2016,41
NON-CRIMINAL,2017,37
NON-CRIMINAL,2018,35
NON-CRIMINAL (SUBJECT SPECIFIED),2012,2
NON-CRIMINAL (SUBJECT SPECIFIED),2014,1
NON-CRIMINAL (SUBJECT SPECIFIED),2016,1
NON-CRIMINAL (SUBJECT SPECIFIED),2017,2
NON-CRIMINAL (SUBJECT SPECIFIED),2018,3
OBSCENITY,2008,24
OBSCENITY,2009,40
OBSCENITY,2010,61
OBSCENITY,2011,40
OBSCENITY,2012,26
OBSCENITY,2013,21
OBSCENITY,2014,32
OBSCENITY,2015,44
OBSCENITY,2016,46
OBSCENITY,2017,80
OBSCENITY,2018,82
OFFENSE INVOLVING CHILDREN,2008,4861
OFFENSE INVOLVING CHILDREN,2009,4772
OFFENSE INVOLVING CHILDREN,2010,4507
OFFENSE INVOLVING CHILDREN,2011,2257
OFFENSE INVOLVING CHILDREN,2012,2112
OFFENSE INVOLVING CHILDREN,2013,2188
OFFENSE INVOLVING CHILDREN,2014,2189
OFFENSE INVOLVING CHILDREN,2015,2149
OFFENSE INVOLVING CHILDREN,2016,1953
OFFENSE INVOLVING CHILDREN,2017,2147
OFFENSE INVOLVING CHILDREN,2018,2079
OTHER NARCOTIC VIOLATION,2008,24
OTHER NARCOTIC VIOLATION,2009,14
OTHER NARCOTIC VIOLATION,2010,11
OTHER NARCOTIC VIOLATION,2011,5
OTHER NARCOTIC VIOLATION,2012,6
OTHER NARCOTIC VIOLATION,2013,5
OTHER NARCOTIC VIOLATION,2014,10
OTHER NARCOTIC VIOLATION,2015,5
OTHER NARCOTIC VIOLATION,2016,4
OTHER NARCOTIC VIOLATION,2017,11
OTHER NARCOTIC VIOLATION,2018,1
OTHER OFFENSE,2008,52234
OTHER OFFENSE,2009,50493
OTHER OFFENSE,2010,41456
OTHER OFFENSE,2011,20168
OTHER OFFENSE,2012,17453
OTHER OFFENSE,2013,17844
OTHER OFFENSE,2014,16749
OTHER OFFENSE,2015,17405
OTHER OFFENSE,2016,15911
OTHER OFFENSE,2017,16968
OTHER OFFENSE,2018,15953
PROSTITUTION,2008,10178
PROSTITUTION,2009,7800
PROSTITUTION,2010,4643
PROSTITUTION,2011,2424
PROSTITUTION,2012,2203
PROSTITUTION,2013,1651
PROSTITUTION,2014,1617
PROSTITUTION,2015,1316
PROSTITUTION,2016,780
PROSTITUTION,2017,734
PROSTITUTION,2018,674
PUBLIC INDECENCY,2008,8
PUBLIC INDECENCY,2009,20
PUBLIC INDECENCY,2010,13
PUBLIC INDECENCY,2011,13
PUBLIC INDECENCY,2012,17
PUBLIC INDECENCY,2013,10
PUBLIC INDECENCY,2014,10
PUBLIC INDECENCY,2015,14
PUBLIC INDECENCY,2016,10
PUBLIC INDECENCY,2017,10
PUBLIC INDECENCY,2018,14
PUBLIC PEACE VIOLATION,2008,5986
PUBLIC PEACE VIOLATION,2009,6243
PUBLIC PEACE VIOLATION,2010,6810
PUBLIC PEACE VIOLATION,2011,3095
PUBLIC PEACE VIOLATION,2012,3006
PUBLIC PEACE VIOLATION,2013,3134
PUBLIC PEACE VIOLATION,2014,2887
PUBLIC PEACE VIOLATION,2015,2409
PUBLIC PEACE VIOLATION,2016,1579
PUBLIC PEACE VIOLATION,2017,1496
PUBLIC PEACE VIOLATION,2018,1241
ROBBERY,2008,33180
ROBBERY,2009,31691
ROBBERY,2010,26832
ROBBERY,2011,13980
ROBBERY,2012,13483
