crime,season,hour,arrest,no_arrest,total,season_string
OVER $500,1,0,1,89,90,Winter
OVER $500,1,6,1,35,36,Winter
OVER $500,1,7,1,69,70,Winter
OVER $500,1,8,1,64,65,Winter
OVER $500,1,9,2,94,96,Winter
OVER $500,1,10,2,70,72,Winter
OVER $500,1,11,4,91,95,Winter
OVER $500,1,12,5,129,134,Winter
OVER $500,1,13,2,103,105,Winter
OVER $500,1,14,4,112,116,Winter
OVER $500,1,15,2,118,120,Winter
OVER $500,1,16,3,116,119,Winter
OVER $500,1,17,5,135,140,Winter
OVER $500,1,18,2,165,167,Winter
OVER $500,1,19,2,158,160,Winter
OVER $500,1,20,1,143,144,Winter
OVER $500,1,21,4,109,113,Winter
OVER $500,1,22,1,96,97,Winter
OVER $500,1,23,2,71,73,Winter
OVER $500,2,0,7,136,143,Spring
OVER $500,2,1,2,91,93,Spring
OVER $500,2,2,2,78,80,Spring
OVER $500,2,5,2,51,53,Spring
OVER $500,2,6,2,81,83,Spring
OVER $500,2,7,1,100,101,Spring
OVER $500,2,8,3,137,140,Spring
OVER $500,2,9,1,148,149,Spring
OVER $500,2,10,2,143,145,Spring
OVER $500,2,11,6,147,153,Spring
OVER $500,2,12,3,213,216,Spring
OVER $500,2,13,4,156,160,Spring
OVER $500,2,14,4,173,177,Spring
OVER $500,2,15,5,189,194,Spring
OVER $500,2,16,6,173,179,Spring
OVER $500,2,17,9,209,218,Spring
OVER $500,2,18,6,213,219,Spring
OVER $500,2,19,4,206,210,Spring
OVER $500,2,20,4,179,183,Spring
OVER $500,2,21,1,153,154,Spring
OVER $500,2,22,1,156,157,Spring
OVER $500,2,23,2,126,128,Spring
OVER $500,3,0,5,163,168,Summer
OVER $500,3,1,3,93,96,Summer
OVER $500,3,2,1,90,91,Summer
OVER $500,3,3,2,78,80,Summer
OVER $500,3,4,5,68,73,Summer
OVER $500,3,5,2,77,79,Summer
OVER $500,3,6,1,95,96,Summer
OVER $500,3,7,5,128,133,Summer
OVER $500,3,8,7,134,141,Summer
OVER $500,3,9,7,185,192,Summer
OVER $500,3,10,5,181,186,Summer
OVER $500,3,11,11,172,183,Summer
OVER $500,3,12,21,246,267,Summer
OVER $500,3,13,9,184,193,Summer
OVER $500,3,14,9,225,234,Summer
OVER $500,3,15,15,254,269,Summer
OVER $500,3,16,14,215,229,Summer
OVER $500,3,17,5,212,217,Summer
OVER $500,3,18,12,244,256,Summer
OVER $500,3,19,17,226,243,Summer
OVER $500,3,20,11,238,249,Summer
OVER $500,3,21,4,209,213,Summer
OVER $500,3,22,6,195,201,Summer
OVER $500,3,23,11,163,174,Summer
OVER $500,4,0,5,141,146,Fall
OVER $500,4,1,2,114,116,Fall
OVER $500,4,2,2,87,89,Fall
OVER $500,4,3,1,74,75,Fall
OVER $500,4,4,4,52,56,Fall
OVER $500,4,6,3,65,68,Fall
OVER $500,4,7,2,109,111,Fall
OVER $500,4,8,4,125,129,Fall
OVER $500,4,9,6,144,150,Fall
OVER $500,4,10,8,146,154,Fall
OVER $500,4,11,7,164,171,Fall
OVER $500,4,12,8,219,227,Fall
OVER $500,4,13,10,182,192,Fall
OVER $500,4,14,7,225,232,Fall
OVER $500,4,15,10,201,211,Fall
OVER $500,4,16,5,220,225,Fall
OVER $500,4,17,5,236,241,Fall
OVER $500,4,18,4,271,275,Fall
OVER $500,4,19,5,304,309,Fall
OVER $500,4,20,8,237,245,Fall
OVER $500,4,21,4,196,200,Fall
OVER $500,4,22,2,196,198,Fall
OVER $500,4,23,2,138,140,Fall
RETAIL THEFT,1,0,8,7,15,Winter
RETAIL THEFT,1,1,4,8,12,Winter
RETAIL THEFT,1,2,4,11,15,Winter
RETAIL THEFT,1,3,2,7,9,Winter
RETAIL THEFT,1,4,1,7,8,Winter
RETAIL THEFT,1,5,4,6,10,Winter
RETAIL THEFT,1,6,8,10,18,Winter
RETAIL THEFT,1,7,15,17,32,Winter
RETAIL THEFT,1,8,22,21,43,Winter
RETAIL THEFT,1,9,29,31,60,Winter
RETAIL THEFT,1,10,43,47,90,Winter
RETAIL THEFT,1,11,47,55,102,Winter
RETAIL THEFT,1,12,52,64,116,Winter
RETAIL THEFT,1,13,63,56,119,Winter
RETAIL THEFT,1,14,65,84,149,Winter
RETAIL THEFT,1,15,76,90,166,Winter
RETAIL THEFT,1,16,92,67,159,Winter
RETAIL THEFT,1,17,84,90,174,Winter
RETAIL THEFT,1,18,67,94,161,Winter
RETAIL THEFT,1,19,57,64,121,Winter
RETAIL THEFT,1,20,57,36,93,Winter
RETAIL THEFT,1,21,22,16,38,Winter
RETAIL THEFT,1,22,17,27,44,Winter
RETAIL THEFT,1,23,8,20,28,Winter
RETAIL THEFT,2,0,8,24,32,Spring
RETAIL THEFT,2,1,13,27,40,Spring
RETAIL THEFT,2,2,6,20,26,Spring
RETAIL THEFT,2,3,3,14,17,Spring
RETAIL THEFT,2,4,1,8,9,Spring
RETAIL THEFT,2,5,1,10,11,Spring
RETAIL THEFT,2,6,10,19,29,Spring
RETAIL THEFT,2,7,22,24,46,Spring
RETAIL THEFT,2,8,32,29,61,Spring
RETAIL THEFT,2,9,47,56,103,Spring
RETAIL THEFT,2,10,78,94,172,Spring
RETAIL THEFT,2,11,80,121,201,Spring
RETAIL THEFT,2,12,79,118,197,Spring
RETAIL THEFT,2,13,99,111,210,Spring
RETAIL THEFT,2,14,78,140,218,Spring
RETAIL THEFT,2,15,120,119,239,Spring
RETAIL THEFT,2,16,99,111,210,Spring
RETAIL THEFT,2,17,98,108,206,Spring
RETAIL THEFT,2,18,105,108,213,Spring
RETAIL THEFT,2,19,89,95,184,Spring
RETAIL THEFT,2,20,60,70,130,Spring
RETAIL THEFT,2,21,44,47,91,Spring
RETAIL THEFT,2,22,29,32,61,Spring
RETAIL THEFT,2,23,10,31,41,Spring
RETAIL THEFT,3,0,6,29,35,Summer
RETAIL THEFT,3,1,7,22,29,Summer
RETAIL THEFT,3,2,7,15,22,Summer
RETAIL THEFT,3,3,8,17,25,Summer
RETAIL THEFT,3,4,1,16,17,Summer
RETAIL THEFT,3,5,2,14,16,Summer
RETAIL THEFT,3,6,8,14,22,Summer
RETAIL THEFT,3,7,24,36,60,Summer
RETAIL THEFT,3,8,32,42,74,Summer
RETAIL THEFT,3,9,43,55,98,Summer
RETAIL THEFT,3,10,62,98,160,Summer
RETAIL THEFT,3,11,72,110,182,Summer
RETAIL THEFT,3,12,87,134,221,Summer
RETAIL THEFT,3,13,69,133,202,Summer
RETAIL THEFT,3,14,82,151,233,Summer
