crime,subcrime,year,arrest,total
ARSON,AGGRAVATED,2008,False,160
ARSON,AGGRAVATED,2008,True,34
ARSON,AGGRAVATED,2009,False,136
ARSON,AGGRAVATED,2009,True,24
ARSON,AGGRAVATED,2010,False,122
ARSON,AGGRAVATED,2010,True,33
ARSON,AGGRAVATED,2011,False,60
ARSON,AGGRAVATED,2011,True,14
ARSON,AGGRAVATED,2012,False,40
ARSON,AGGRAVATED,2012,True,15
ARSON,AGGRAVATED,2013,False,40
ARSON,AGGRAVATED,2013,True,11
ARSON,AGGRAVATED,2014,False,41
ARSON,AGGRAVATED,2014,True,6
ARSON,AGGRAVATED,2015,False,56
ARSON,AGGRAVATED,2015,True,21
ARSON,AGGRAVATED,2016,False,53
ARSON,AGGRAVATED,2016,True,18
ARSON,AGGRAVATED,2017,False,43
ARSON,AGGRAVATED,2017,True,13
ARSON,AGGRAVATED,2018,False,42
ARSON,AGGRAVATED,2018,True,15
ARSON,ATTEMPT ARSON,2008,False,188
ARSON,ATTEMPT ARSON,2008,True,20
ARSON,ATTEMPT ARSON,2009,False,162
ARSON,ATTEMPT ARSON,2009,True,32
ARSON,ATTEMPT ARSON,2010,False,172
ARSON,ATTEMPT ARSON,2010,True,13
ARSON,ATTEMPT ARSON,2011,False,77
ARSON,ATTEMPT ARSON,2011,True,11
ARSON,ATTEMPT ARSON,2012,False,77
ARSON,ATTEMPT ARSON,2012,True,7
ARSON,ATTEMPT ARSON,2013,False,55
ARSON,ATTEMPT ARSON,2013,True,10
ARSON,ATTEMPT ARSON,2014,False,42
ARSON,ATTEMPT ARSON,2014,True,4
ARSON,ATTEMPT ARSON,2015,False,52
ARSON,ATTEMPT ARSON,2015,True,5
ARSON,ATTEMPT ARSON,2016,False,61
ARSON,ATTEMPT ARSON,2016,True,9
ARSON,ATTEMPT ARSON,2017,False,45
ARSON,ATTEMPT ARSON,2017,True,5
ARSON,ATTEMPT ARSON,2018,False,29
ARSON,ATTEMPT ARSON,2018,True,7
ARSON,BY EXPLOSIVE,2008,False,16
ARSON,BY EXPLOSIVE,2009,False,8
ARSON,BY EXPLOSIVE,2010,False,10
ARSON,BY EXPLOSIVE,2010,True,2
ARSON,BY EXPLOSIVE,2011,True,1
ARSON,BY EXPLOSIVE,2012,False,4
ARSON,BY EXPLOSIVE,2013,False,2
ARSON,BY EXPLOSIVE,2014,False,4
ARSON,BY EXPLOSIVE,2015,False,4
ARSON,BY EXPLOSIVE,2016,False,3
ARSON,BY EXPLOSIVE,2017,False,3
ARSON,BY EXPLOSIVE,2018,False,3
ARSON,BY FIRE,2008,False,792
ARSON,BY FIRE,2008,True,50
ARSON,BY FIRE,2009,False,772
ARSON,BY FIRE,2009,True,72
ARSON,BY FIRE,2010,False,570
ARSON,BY FIRE,2010,True,71
ARSON,BY FIRE,2011,False,317
ARSON,BY FIRE,2011,True,20
ARSON,BY FIRE,2012,False,300
ARSON,BY FIRE,2012,True,23
ARSON,BY FIRE,2013,False,219
ARSON,BY FIRE,2013,True,21
ARSON,BY FIRE,2014,False,271
ARSON,BY FIRE,2014,True,20
ARSON,BY FIRE,2015,False,284
ARSON,BY FIRE,2015,True,21
ARSON,BY FIRE,2016,False,340
ARSON,BY FIRE,2016,True,15
ARSON,BY FIRE,2017,False,312
ARSON,BY FIRE,2017,True,20
ARSON,BY FIRE,2018,False,241
ARSON,BY FIRE,2018,True,5
ARSON,POS: CHEMICAL/DRY-ICE DEVICE,2008,False,8
ARSON,POS: CHEMICAL/DRY-ICE DEVICE,2008,True,4
ARSON,POS: CHEMICAL/DRY-ICE DEVICE,2009,False,4
ARSON,POS: CHEMICAL/DRY-ICE DEVICE,2009,True,4
ARSON,POS: CHEMICAL/DRY-ICE DEVICE,2010,True,1
ARSON,POS: CHEMICAL/DRY-ICE DEVICE,2011,False,1
ARSON,POS: CHEMICAL/DRY-ICE DEVICE,2012,True,1
ARSON,POS: CHEMICAL/DRY-ICE DEVICE,2016,False,1
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2008,False,4
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2008,True,10
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2009,False,4
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2009,True,6
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2010,False,8
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2010,True,8
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2011,False,3
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2011,True,2
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2012,False,2
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2013,False,2
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2013,True,4
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2014,True,2
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2015,False,4
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2015,True,1
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2016,False,3
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2016,True,1
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2017,False,2
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2017,True,1
ARSON,POS: EXPLOSIVE/INCENDIARY DEV,2018,True,1
ASSAULT,AGG PO HANDS NO/MIN INJURY,2008,False,190
ASSAULT,AGG PO HANDS NO/MIN INJURY,2008,True,606
ASSAULT,AGG PO HANDS NO/MIN INJURY,2009,False,160
ASSAULT,AGG PO HANDS NO/MIN INJURY,2009,True,874
ASSAULT,AGG PO HANDS NO/MIN INJURY,2010,False,177
ASSAULT,AGG PO HANDS NO/MIN INJURY,2010,True,896
ASSAULT,AGG PO HANDS NO/MIN INJURY,2011,False,42
ASSAULT,AGG PO HANDS NO/MIN INJURY,2011,True,486
ASSAULT,AGG PO HANDS NO/MIN INJURY,2012,False,60
ASSAULT,AGG PO HANDS NO/MIN INJURY,2012,True,460
ASSAULT,AGG PO HANDS NO/MIN INJURY,2013,False,49
ASSAULT,AGG PO HANDS NO/MIN INJURY,2013,True,419
ASSAULT,AGG PO HANDS NO/MIN INJURY,2014,False,38
ASSAULT,AGG PO HANDS NO/MIN INJURY,2014,True,434
ASSAULT,AGG PO HANDS NO/MIN INJURY,2015,False,40
ASSAULT,AGG PO HANDS NO/MIN INJURY,2015,True,375
ASSAULT,AGG PO HANDS NO/MIN INJURY,2016,False,35
ASSAULT,AGG PO HANDS NO/MIN INJURY,2016,True,235
ASSAULT,AGG PO HANDS NO/MIN INJURY,2017,False,24
ASSAULT,AGG PO HANDS NO/MIN INJURY,2017,True,221
ASSAULT,AGG PO HANDS NO/MIN INJURY,2018,False,39
ASSAULT,AGG PO HANDS NO/MIN INJURY,2018,True,172
ASSAULT,AGG PRO.EMP: HANDGUN,2008,False,32
ASSAULT,AGG PRO.EMP: HANDGUN,2008,True,16
ASSAULT,AGG PRO.EMP: HANDGUN,2009,False,24
ASSAULT,AGG PRO.EMP: HANDGUN,2009,True,20
ASSAULT,AGG PRO.EMP: HANDGUN,2010,False,23
ASSAULT,AGG PRO.EMP: HANDGUN,2010,True,8
ASSAULT,AGG PRO.EMP: HANDGUN,2011,False,18
ASSAULT,AGG PRO.EMP: HANDGUN,2011,True,8
ASSAULT,AGG PRO.EMP: HANDGUN,2012,False,4
ASSAULT,AGG PRO.EMP: HANDGUN,2012,True,7
ASSAULT,AGG PRO.EMP: HANDGUN,2013,False,4
ASSAULT,AGG PRO.EMP: HANDGUN,2013,True,9
ASSAULT,AGG PRO.EMP: HANDGUN,2014,False,14
ASSAULT,AGG PRO.EMP: HANDGUN,2014,True,8
ASSAULT,AGG PRO.EMP: HANDGUN,2015,False,13
ASSAULT,AGG PRO.EMP: HANDGUN,2015,True,2
ASSAULT,AGG PRO.EMP: HANDGUN,2016,False,15
ASSAULT,AGG PRO.EMP: HANDGUN,2016,True,14
ASSAULT,AGG PRO.EMP: HANDGUN,2017,False,27
ASSAULT,AGG PRO.EMP: HANDGUN,2017,True,13
ASSAULT,AGG PRO.EMP: HANDGUN,2018,False,23
ASSAULT,AGG PRO.EMP: HANDGUN,2018,True,9
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2008,False,108
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2008,True,50
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2009,False,92
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2009,True,70
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2010,False,74
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2010,True,45
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2011,False,45
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2011,True,38
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2012,False,12
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2012,True,13
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2013,False,14
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2013,True,8
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2014,False,21
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2014,True,18
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2015,False,26
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2015,True,19
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2016,False,25
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2016,True,14
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2017,False,32
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2017,True,16
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2018,False,43
ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,2018,True,28
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2008,False,16
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2008,True,4
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2009,False,8
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2009,True,4
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2010,False,3
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2011,False,1
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2011,True,3
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2012,False,1
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2013,False,1
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2014,False,1
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2014,True,3
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2015,False,2
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2015,True,2
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2016,False,1
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2016,True,1
ASSAULT,AGG PRO.EMP: OTHER FIREARM,2017,True,1
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2008,False,34
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2008,True,26
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2009,False,50
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2009,True,40
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2010,False,45
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2010,True,34
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2011,False,26
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2011,True,14
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2012,False,14
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2012,True,10
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2013,False,11
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2013,True,10
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2014,False,16
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2014,True,12
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2015,False,8
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2015,True,9
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2016,False,21
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2016,True,18
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2017,False,21
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2017,True,19
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2018,False,30
ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,2018,True,17
ASSAULT,AGGRAVATED PO: HANDGUN,2008,False,60
ASSAULT,AGGRAVATED PO: HANDGUN,2008,True,94
ASSAULT,AGGRAVATED PO: HANDGUN,2009,False,34
ASSAULT,AGGRAVATED PO: HANDGUN,2009,True,122
ASSAULT,AGGRAVATED PO: HANDGUN,2010,False,31
ASSAULT,AGGRAVATED PO: HANDGUN,2010,True,85
ASSAULT,AGGRAVATED PO: HANDGUN,2011,False,19
