crime,arrest,date,latitude,longitude,domestic,district,FBI_code,year,month,hour,day,dayofweek,weekofyear,quarter
RETAIL THEFT,False,2018-12-07 17:30:00,41.930906002,-87.644017035,False,19.0,6,2018,12,17,7,4,49,4
OVER $500,False,2018-12-07 12:00:00,41.872742184,-87.709326156,False,11.0,6,2018,12,12,7,4,49,4
OVER $500,False,2018-12-07 12:00:00,41.803671998,-87.703846021,False,8.0,6,2018,12,12,7,4,49,4
OVER $500,False,2018-12-07 20:00:00,41.882389156,-87.624374606,False,1.0,6,2018,12,20,7,4,49,4
OVER $500,False,2018-12-07 20:30:00,41.838217084,-87.63322559299999,False,9.0,6,2018,12,20,7,4,49,4
OVER $500,False,2018-12-07 17:00:00,41.85008373,-87.671726875,False,10.0,6,2018,12,17,7,4,49,4
OVER $500,False,2018-12-07 22:00:00,41.717163574000004,-87.63096609799999,False,5.0,6,2018,12,22,7,4,49,4
OVER $500,False,2018-12-07 20:30:00,41.854963672,-87.627133239,True,1.0,6,2018,12,20,7,4,49,4
OVER $500,False,2018-12-07 19:00:00,41.946068557,-87.80333538100002,False,16.0,6,2018,12,19,7,4,49,4
RETAIL THEFT,False,2018-12-07 21:36:00,41.906797102,-87.671861659,False,14.0,6,2018,12,21,7,4,49,4
RETAIL THEFT,True,2018-12-07 20:00:00,41.898155812,-87.62409372100002,False,18.0,6,2018,12,20,7,4,49,4
OVER $500,False,2018-12-07 21:30:00,41.736891465999996,-87.554190053,False,4.0,6,2018,12,21,7,4,49,4
OVER $500,False,2018-12-07 21:15:00,41.910635142,-87.667391383,False,14.0,6,2018,12,21,7,4,49,4
OVER $500,False,2018-12-07 21:25:00,41.931688788,-87.734653716,False,25.0,6,2018,12,21,7,4,49,4
RETAIL THEFT,True,2018-12-07 20:27:00,41.897895128,-87.624096605,False,18.0,6,2018,12,20,7,4,49,4
RETAIL THEFT,True,2018-12-07 18:30:00,41.883500186999996,-87.627876698,False,1.0,6,2018,12,18,7,4,49,4
RETAIL THEFT,True,2018-12-07 19:37:00,41.984109030999996,-87.660855375,False,20.0,6,2018,12,19,7,4,49,4
RETAIL THEFT,True,2018-12-07 18:40:00,41.88171846,-87.62776042600002,False,1.0,6,2018,12,18,7,4,49,4
RETAIL THEFT,True,2018-12-07 16:00:00,41.722362598000004,-87.58382047,False,4.0,6,2018,12,16,7,4,49,4
RETAIL THEFT,False,2018-12-07 17:30:00,41.677482363,-87.664386569,False,22.0,6,2018,12,17,7,4,49,4
RETAIL THEFT,True,2018-12-07 17:20:00,41.737750767,-87.604855911,False,6.0,6,2018,12,17,7,4,49,4
RETAIL THEFT,True,2018-12-07 16:18:00,41.883500186999996,-87.627876698,False,1.0,6,2018,12,16,7,4,49,4
RETAIL THEFT,False,2018-12-07 14:30:00,41.894860447,-87.76419400200001,False,15.0,6,2018,12,14,7,4,49,4
OVER $500,False,2018-12-07 18:43:00,41.853633845,-87.734570978,False,10.0,6,2018,12,18,7,4,49,4
OVER $500,False,2018-12-07 12:38:00,41.930896786999995,-87.697587655,False,14.0,6,2018,12,12,7,4,49,4
RETAIL THEFT,True,2018-12-07 17:23:00,41.721194359,-87.66396636799999,False,22.0,6,2018,12,17,7,4,49,4
OVER $500,False,2018-12-07 17:20:00,41.914055338000004,-87.633396724,False,18.0,6,2018,12,17,7,4,49,4
OVER $500,False,2018-12-07 02:30:00,41.910423537,-87.680722233,False,14.0,6,2018,12,2,7,4,49,4
OVER $500,False,2018-12-07 16:10:00,41.918060119,-87.65644204,False,18.0,6,2018,12,16,7,4,49,4
RETAIL THEFT,False,2018-12-07 12:13:00,41.879069903,-87.627701434,False,1.0,6,2018,12,12,7,4,49,4
OVER $500,False,2018-12-07 07:45:00,41.880173915,-87.64731294799999,False,12.0,6,2018,12,7,7,4,49,4
OVER $500,False,2018-12-07 11:00:00,41.893990113,-87.70215557700001,False,12.0,6,2018,12,11,7,4,49,4
OVER $500,False,2018-12-05 03:00:00,41.767363413000005,-87.58125880200001,False,3.0,6,2018,12,3,5,2,49,4
OVER $500,False,2018-12-07 08:00:00,41.840075191,-87.72686969700001,False,10.0,6,2018,12,8,7,4,49,4
RETAIL THEFT,False,2018-12-07 06:55:00,41.90971226,-87.73926766,False,25.0,6,2018,12,6,7,4,49,4
OVER $500,False,2018-12-07 02:00:00,41.710706088,-87.56696590899998,False,4.0,6,2018,12,2,7,4,49,4
OVER $500,False,2018-12-07 03:00:00,41.81580477,-87.599393875,False,2.0,6,2018,12,3,7,4,49,4
RETAIL THEFT,True,2018-12-07 00:08:00,41.880108035,-87.647309981,False,12.0,6,2018,12,0,7,4,49,4
OVER $500,False,2018-11-22 17:00:00,41.897544957,-87.626499005,False,18.0,6,2018,11,17,22,3,47,4
OVER $500,False,2018-12-05 15:00:00,41.94871336,-87.783937092,False,16.0,6,2018,12,15,5,2,49,4
